idx	v_val	v_vec	p_in	p_out
24	0.12916823731562577	"[0.00000000e+00 4.44816876e-17 3.41020755e-17 8.21742904e-01
 9.49705962e-18 0.00000000e+00 1.78257096e-01]"	[8.81150372e-17 5.23991070e-01 2.03695928e-16]	[4.98183878e-01 0.00000000e+00 3.62517628e-16]
25	0.4393200844281012	"[4.89863037e-01 1.03740000e-18 1.08497707e-18 1.91552023e-19
 5.10136963e-01 1.47147396e-17 1.92465292e-18]"	[4.98183878e-01 0.00000000e+00 3.62517628e-16]	[0.00000000e+00 5.23989029e-01 5.09245716e-17]
26	0.12916829675913297	"[0.00000000e+00 0.00000000e+00 7.71253410e-18 8.21730674e-01
 0.00000000e+00 0.00000000e+00 1.78269326e-01]"	[0.00000000e+00 5.23989029e-01 5.09245716e-17]	[4.98185005e-01 2.09302168e-16 4.68483624e-16]
27	0.439320032589972	"[4.89831876e-01 2.50356010e-17 0.00000000e+00 0.00000000e+00
 5.10168124e-01 0.00000000e+00 3.08628610e-16]"	[4.98185005e-01 2.09302168e-16 4.68483624e-16]	[9.78192697e-17 5.23989621e-01 2.12872952e-16]
28	0.12916827949366652	"[0.00000000e+00 0.00000000e+00 0.00000000e+00 8.21742238e-01
 2.42595345e-17 6.17413989e-18 1.78257762e-01]"	[9.78192697e-17 5.23989621e-01 2.12872952e-16]	[4.98183807e-01 1.31251104e-15 1.45006964e-15]
29	0.4393200881860094	"[4.89923497e-01 6.16567900e-16 7.33090894e-16 1.75955394e-16
 5.10076503e-01 2.45166917e-16 9.95344768e-16]"	[4.98183807e-01 1.31251104e-15 1.45006964e-15]	[0.00000000e+00 5.23991528e-01 5.09231584e-17]
30	0.1291682239664254	"[2.50979040e-17 1.64742548e-17 0.00000000e+00 8.21740931e-01
 4.15669599e-17 1.40684481e-21 1.78259069e-01]"	[0.00000000e+00 5.23991528e-01 5.09231584e-17]	[4.98183450e-01 0.00000000e+00 3.45031726e-16]
31	0.43932010418566125	"[4.89870274e-01 3.77721459e-16 3.95258563e-16 1.43540991e-16
 5.10129726e-01 1.79441845e-16 5.94182253e-16]"	[4.98183450e-01 0.00000000e+00 3.45031726e-16]	[0.00000000e+00 5.23989766e-01 5.09243975e-17]
32	0.12916827528902297	"[8.91013746e-17 7.27479331e-17 0.00000000e+00 8.21744295e-01
 8.72063299e-18 5.69693240e-17 1.78255705e-01]"	[0.00000000e+00 5.23989766e-01 5.09243975e-17]	[4.98183679e-01 0.00000000e+00 2.17510198e-15]
33	0.4393200935916509	"[4.89874643e-01 8.86935274e-16 9.75686088e-16 2.36016056e-16
 5.10125357e-01 3.92307893e-16 1.43040708e-15]"	[4.98183679e-01 0.00000000e+00 2.17510198e-15]	[0.         0.52398999 0.        ]
34	0.12916826886160157	"[0.00000000e+00 5.83314546e-17 0.00000000e+00 8.21722513e-01
 0.00000000e+00 8.51894934e-17 1.78277487e-01]"	[0.         0.52398999 0.        ]	[4.98183984e-01 0.00000000e+00 7.25039299e-16]
35	0.43932008215192975	"[4.89754152e-01 3.20077558e-16 2.29700378e-16 2.21525730e-17
 5.10245848e-01 4.35072983e-22 1.66365562e-16]"	[4.98183984e-01 0.00000000e+00 7.25039299e-16]	[1.23403062e-16 5.23987781e-01 0.00000000e+00]
36	0.12916833418622065	"[3.32574278e-17 3.46643236e-17 5.01607527e-18 8.21698401e-01
 0.00000000e+00 2.07068442e-17 1.78301599e-01]"	[1.23403062e-16 5.23987781e-01 0.00000000e+00]	[4.98183932e-01 0.00000000e+00 5.55682720e-16]
37	0.439320083108367	"[4.89951197e-01 6.78230433e-17 2.92104817e-17 0.00000000e+00
 5.10048803e-01 0.00000000e+00 2.77162400e-16]"	[4.98183932e-01 0.00000000e+00 5.55682720e-16]	[5.02755842e-17 5.23990383e-01 0.00000000e+00]
38	0.12916825731720943	"[3.72295274e-17 9.82192026e-17 4.74161385e-17 8.21736203e-01
 2.96285505e-17 1.09271228e-16 1.78263797e-01]"	[5.02755842e-17 5.23990383e-01 0.00000000e+00]	[4.98184018e-01 6.81515898e-16 0.00000000e+00]
39	0.43932007826225766	"[4.89828943e-01 8.45251601e-17 5.93569768e-17 1.37481498e-20
 5.10171057e-01 1.89795266e-17 1.78204640e-16]"	[4.98184018e-01 6.81515898e-16 0.00000000e+00]	[0.00000000e+00 5.23988836e-01 1.01850571e-16]
40	0.12916830237233312	"[1.17943751e-16 4.31921302e-17 0.00000000e+00 8.21731006e-01
 2.42221735e-17 2.09927675e-17 1.78268994e-01]"	[0.00000000e+00 5.23988836e-01 1.01850571e-16]	[0.49818411 0.         0.        ]
41	0.43932007975388576	"[4.89691544e-01 4.94344307e-16 4.62859678e-16 1.07232545e-16
 5.10308456e-01 2.25021825e-16 8.45613241e-16]"	[0.49818411 0.         0.        ]	[2.83406880e-17 5.23987796e-01 2.08297589e-16]
42	0.12916833262696484	"[0.00000000e+00 0.00000000e+00 2.11455137e-17 8.21738616e-01
 0.00000000e+00 0.00000000e+00 1.78261384e-01]"	[2.83406880e-17 5.23987796e-01 2.08297589e-16]	[0.4981848 0.        0.       ]
43	0.4393200417676442	"[4.89845089e-01 1.13882209e-16 3.10754150e-16 4.35609932e-17
 5.10154911e-01 7.35554882e-18 6.33954136e-17]"	[0.4981848 0.        0.       ]	[0.         0.52398884 0.        ]
44	0.1291683023636762	"[1.90612743e-16 1.95808719e-16 1.73069956e-16 8.21735206e-01
 1.81895005e-16 0.00000000e+00 1.78264794e-01]"	[0.         0.52398884 0.        ]	[4.98184529e-01 0.00000000e+00 5.43776007e-16]
