idx	v_val	p_in	v_vec	time
322	0.12333904287748515	[0.03, 0.34999999999999987, 0.01]	"[3.26916008e-16 4.00887043e-17 2.77764541e-13 1.57628952e-01
 8.42371048e-01 2.09094256e-16 0.00000000e+00]"	18.869784116744995
323	0.12396294215765978	[0.03, 0.34999999999999987, 0.02]	"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.55941192e-01
 8.44058808e-01 1.38550422e-16 1.38598307e-16]"	35.615225315093994
324	0.12359191316847264	[0.03, 0.3599999999999999, 0.0]	"[1.68402994e-16 3.03764154e-17 0.00000000e+00 1.65002772e-01
 8.34997228e-01 0.00000000e+00 0.00000000e+00]"	12.60279631614685
325	0.12421763925592652	[0.03, 0.3599999999999999, 0.01]	"[2.32088345e-17 5.78911531e-21 2.22991401e-17 1.63377067e-01
 8.36622930e-01 1.20881432e-17 0.00000000e+00]"	7.631280422210693
326	0.12476635257159611	[0.03, 0.3599999999999999, 0.02]	"[8.61108925e-18 8.04338898e-17 1.10036556e-17 1.61288294e-01
 8.38711706e-01 2.09382383e-17 0.00000000e+00]"	8.366153478622437
327	0.12446674449316594	[0.03, 0.3699999999999999, 0.0]	"[0.00000000e+00 3.97708920e-20 0.00000000e+00 1.70701995e-01
 8.29298005e-01 1.43497261e-20 0.00000000e+00]"	11.095128774642944
328	0.12501749894887654	[0.03, 0.3699999999999999, 0.01]	"[0.00000000e+00 1.23783336e-16 7.17287224e-17 1.68676892e-01
 8.31323108e-01 5.18044931e-17 0.00000000e+00]"	10.323394298553467
329	0.1254912337422107	[0.03, 0.3699999999999999, 0.02]	"[1.14494694e-16 0.00000000e+00 0.00000000e+00 1.66324562e-01
 8.33675438e-01 0.00000000e+00 0.00000000e+00]"	14.018046379089355
330	0.12526302654271135	[0.03, 0.3799999999999999, 0.0]	"[9.24208865e-17 6.74599195e-17 0.00000000e+00 1.76032553e-01
 8.23967447e-01 3.58772284e-19 0.00000000e+00]"	7.477661371231079
331	0.1257390106298514	[0.03, 0.3799999999999999, 0.01]	"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.73563810e-01
 8.26436190e-01 2.78359604e-17 0.00000000e+00]"	7.083977460861206
332	0.12613795150930995	[0.03, 0.3799999999999999, 0.02]	"[0.00000000e+00 3.95451610e-17 6.03354966e-17 1.70944743e-01
 8.29055257e-01 1.57228178e-17 0.00000000e+00]"	6.457269668579102
333	0.12598114043353834	[0.03, 0.3899999999999999, 0.0]	"[0.00000000e+00 9.82999673e-17 6.16162159e-17 1.80872898e-01
 8.19127102e-01 3.54913764e-18 0.00000000e+00]"	10.846192121505737
334	0.12638253569589775	[0.03, 0.3899999999999999, 0.01]	"[1.91544492e-17 0.00000000e+00 6.23804805e-19 1.78340258e-01
 8.21659742e-01 0.00000000e+00 1.13286525e-17]"	9.614562511444092
335	0.12670684003261845	[0.03, 0.3899999999999999, 0.02]	"[2.19931863e-17 1.61879470e-17 4.23052680e-16 1.75682701e-01
 8.24317299e-01 3.19821166e-16 0.00000000e+00]"	9.003358125686646
336	0.12662144613750884	[0.03, 0.3999999999999998, 0.0]	"[0.00000000e+00 1.21117396e-17 0.00000000e+00 1.85648986e-01
 8.14351014e-01 0.00000000e+00 0.00000000e+00]"	12.66896104812622
337	0.12694840941143207	[0.03, 0.3999999999999998, 0.01]	"[2.31726256e-16 0.00000000e+00 0.00000000e+00 1.82745063e-01
 8.17254937e-01 0.00000000e+00 0.00000000e+00]"	9.503509521484375
338	0.1271982194824331	[0.03, 0.3999999999999998, 0.02]	"[6.60404113e-18 0.00000000e+00 0.00000000e+00 1.79855474e-01
 8.20144526e-01 0.00000000e+00 0.00000000e+00]"	5.737380504608154
339	0.12718427433779173	[0.03, 0.4099999999999998, 0.0]	"[0.00000000e+00 1.85094914e-16 3.55377087e-17 1.90074588e-01
 8.09925412e-01 1.73153136e-16 0.00000000e+00]"	10.671223402023315
340	0.12743694316815782	[0.03, 0.4099999999999998, 0.01]	"[0.00000000e+00 2.11023377e-17 0.00000000e+00 1.87054328e-01
 8.12945672e-01 0.00000000e+00 2.55929170e-16]"	8.728413581848145
341	0.12761238139401984	[0.03, 0.4099999999999998, 0.02]	"[0.00000000e+00 2.51930114e-20 2.36243981e-21 1.83863807e-01
 8.16136193e-01 1.44215717e-18 5.17620396e-31]"	6.50216007232666
342	0.12766993898041687	[0.03, 0.4199999999999998, 0.0]	[0.        0.        0.        0.1940023 0.8059977 0.        0.       ]	7.502876281738281
343	0.1278484299172629	[0.03, 0.4199999999999998, 0.01]	"[0.00000000e+00 7.01164256e-17 4.61749428e-17 1.91213492e-01
 8.08786508e-01 1.33621657e-16 1.73155904e-16]"	8.760737657546997
344	0.1279495980027213	[0.03, 0.4199999999999998, 0.02]	"[3.65167474e-17 0.00000000e+00 0.00000000e+00 1.87676764e-01
 8.12323236e-01 0.00000000e+00 0.00000000e+00]"	7.584935426712036
345	0.12807871867786313	[0.03, 0.4299999999999998, 0.0]	"[9.63258136e-17 6.51875437e-17 1.44978050e-18 1.98339556e-01
 8.01660421e-01 8.42486800e-21 3.27002603e-17]"	7.169628143310547
346	0.12818313558559422	[0.03, 0.4299999999999998, 0.01]	"[4.97328188e-17 0.00000000e+00 0.00000000e+00 1.94695482e-01
 8.05304518e-01 0.00000000e+00 0.00000000e+00]"	6.900145769119263
347	0.12821012152849715	[0.03, 0.4299999999999998, 0.02]	"[1.17867443e-16 0.00000000e+00 0.00000000e+00 1.91182961e-01
 8.08817039e-01 0.00000000e+00 4.02125110e-16]"	9.387077808380127
348	0.12841088419457056	[0.03, 0.43999999999999984, 0.0]	"[1.13532324e-16 8.72263870e-17 1.48830545e-16 2.01992717e-01
 7.98007283e-01 1.91586885e-16 2.44229606e-17]"	12.043723344802856
349	0.128441313575835	[0.03, 0.43999999999999984, 0.01]	"[6.23984505e-16 2.43087241e-16 0.00000000e+00 1.98252738e-01
 8.01747262e-01 0.00000000e+00 0.00000000e+00]"	8.939151048660278
350	0.12839418551108467	[0.03, 0.43999999999999984, 0.02]	"[6.00131907e-17 4.58236117e-17 2.23379048e-17 1.94463238e-01
 8.05536762e-01 8.72785539e-17 0.00000000e+00]"	11.649462938308716
351	0.12866669606372136	[0.03, 0.44999999999999984, 0.0]	"[9.08098223e-18 0.00000000e+00 0.00000000e+00 2.05234483e-01
 7.94765494e-01 8.60959323e-21 0.00000000e+00]"	7.064805269241333
352	0.12862319646359313	[0.03, 0.44999999999999984, 0.01]	"[8.04627108e-17 5.27440299e-17 0.00000000e+00 2.01436293e-01
 7.98563707e-01 0.00000000e+00 0.00000000e+00]"	22.21095895767212
353	0.12850200613946114	[0.03, 0.44999999999999984, 0.02]	"[7.34223390e-18 8.55160809e-17 0.00000000e+00 1.97621129e-01
 8.02378871e-01 2.30721142e-17 9.70903723e-17]"	6.2548604011535645
354	0.12884636204619132	[0.03, 0.45999999999999985, 0.0]	"[1.32276319e-19 5.43148345e-20 1.39861569e-19 2.08823618e-01
 7.91176382e-01 0.00000000e+00 0.00000000e+00]"	7.746612310409546
355	0.1287289974665703	[0.03, 0.45999999999999985, 0.01]	"[0.00000000e+00 4.77048956e-17 0.00000000e+00 2.04840243e-01
 7.95159757e-01 6.93889390e-18 0.00000000e+00]"	9.18773365020752
356	0.1285337828977364	[0.03, 0.45999999999999985, 0.02]	"[1.25810615e-15 2.22543581e-16 1.81964224e-15 2.00071003e-01
 7.99928997e-01 1.50326448e-15 1.17389347e-14]"	8.412416696548462
357	0.1289501157044538	[0.03, 0.46999999999999986, 0.0]	"[9.30731720e-17 2.45657125e-21 3.65643270e-17 2.11910685e-01
 7.88089307e-01 5.98595968e-20 4.26073807e-20]"	7.087827205657959
358	0.12875892025071486	[0.03, 0.46999999999999986, 0.01]	"[7.66666303e-17 2.56895381e-21 5.46784801e-21 2.07330614e-01
 7.92669317e-01 7.90759417e-17 2.64751597e-16]"	5.946248531341553
359	0.12848968950179684	[0.03, 0.46999999999999986, 0.02]	"[9.71445147e-17 0.00000000e+00 3.28200516e-17 2.03012097e-01
 7.96987903e-01 2.08166817e-17 3.46944695e-17]"	7.712286949157715
360	0.12897814349339506	[0.03, 0.47999999999999976, 0.0]	"[0.00000000e+00 4.89999029e-17 5.77174457e-17 2.14696650e-01
 7.85303350e-01 1.93146472e-17 0.00000000e+00]"	10.486725330352783
361	0.12871312250196468	[0.03, 0.47999999999999976, 0.01]	"[2.78124803e-18 1.02697709e-16 2.79797797e-16 2.09959346e-01
 7.90040654e-01 2.38875679e-16 0.00000000e+00]"	10.354241609573364
362	0.12836990096067524	[0.03, 0.47999999999999976, 0.02]	"[0.00000000e+00 0.00000000e+00 2.53525753e-17 2.05436374e-01
 7.94563626e-01 0.00000000e+00 0.00000000e+00]"	9.169315576553345
363	0.12893063319232367	[0.03, 0.48999999999999977, 0.0]	"[1.00998680e-17 0.00000000e+00 0.00000000e+00 2.17021147e-01
 7.82978853e-01 2.38822639e-18 2.76703655e-16]"	9.709575176239014
364	0.12859179605476279	[0.03, 0.48999999999999977, 0.01]	"[6.06942565e-17 7.09374305e-17 3.70766592e-16 2.12684242e-01
 7.87315758e-01 0.00000000e+00 0.00000000e+00]"	13.650289535522461
365	0.1281745636111919	[0.03, 0.48999999999999977, 0.02]	"[4.49129221e-16 3.76642839e-16 0.00000000e+00 2.07460137e-01
 7.92539863e-01 3.25587780e-16 6.98365487e-15]"	7.792039155960083
366	0.12880773799952475	[0.03, 0.4999999999999998, 0.0]	"[8.41370903e-17 0.00000000e+00 3.18799523e-17 2.19857053e-01
 7.80142947e-01 0.00000000e+00 0.00000000e+00]"	6.898232698440552
367	0.1283950801510465	[0.03, 0.4999999999999998, 0.01]	"[3.01654226e-21 8.07843979e-18 2.77288304e-18 2.14704259e-01
 7.85295727e-01 0.00000000e+00 1.58441280e-20]"	7.051909685134888
368	0.12790381807539086	[0.03, 0.4999999999999998, 0.02]	[0.        0.        0.        0.2098457 0.7901543 0.        0.       ]	6.963289022445679
369	0.07411766550458372	[0.04, 0.1, 0.0]	"[4.45162017e-02 1.18473762e-17 0.00000000e+00 9.23801731e-16
 9.55483798e-01 7.29780196e-17 0.00000000e+00]"	9.549013137817383
370	0.0763833947103079	[0.04, 0.1, 0.01]	"[5.84466515e-02 0.00000000e+00 1.30651556e-17 8.19790894e-17
 9.41553348e-01 6.01231432e-17 0.00000000e+00]"	9.89196228981018
371	0.07850804705779692	[0.04, 0.1, 0.02]	"[7.09223698e-02 1.12891011e-16 1.17335918e-16 0.00000000e+00
 9.29077630e-01 1.38621137e-16 0.00000000e+00]"	8.815112352371216
372	0.07727301635926259	[0.04, 0.11, 0.0]	"[3.26143445e-02 4.11232707e-17 6.67741872e-17 3.45916598e-16
 9.67385656e-01 0.00000000e+00 1.19313590e-16]"	8.846015214920044
373	0.07953683843601234	[0.04, 0.11, 0.01]	"[4.62151204e-02 1.14338729e-16 7.99814893e-17 8.91543410e-17
 9.53784880e-01 6.62201613e-17 3.09596706e-17]"	10.802527666091919
374	0.08165600526578122	[0.04, 0.11, 0.02]	"[5.84885483e-02 0.00000000e+00 7.02053665e-18 0.00000000e+00
 9.41511452e-01 0.00000000e+00 0.00000000e+00]"	10.289042711257935
375	0.08028751396326923	[0.04, 0.12, 0.0]	"[2.15668416e-02 0.00000000e+00 0.00000000e+00 6.68324446e-16
 9.78433158e-01 0.00000000e+00 8.42536170e-19]"	8.778908967971802
376	0.08254470018491455	[0.04, 0.12, 0.01]	"[3.49253956e-02 6.54156850e-17 1.72569633e-16 0.00000000e+00
 9.65074604e-01 1.04260847e-16 0.00000000e+00]"	8.192062854766846
377	0.08465393860311687	[0.04, 0.12, 0.02]	"[4.69777976e-02 5.89983125e-17 2.81783314e-17 1.18834279e-17
 9.53022202e-01 5.23019914e-17 6.92065071e-17]"	10.561778783798218
378	0.08316780857404951	[0.04, 0.13, 0.0]	"[1.13556249e-02 2.51983403e-17 7.23556895e-17 2.51870971e-17
 9.88644375e-01 0.00000000e+00 0.00000000e+00]"	9.436720371246338
379	0.08541398008790535	[0.04, 0.13, 0.01]	"[0.02446669 0.         0.         0.         0.97553331 0.
 0.        ]"	9.994021892547607
380	0.08750917203990932	[0.04, 0.13, 0.02]	"[3.62836831e-02 4.18809755e-19 9.64757124e-19 1.46081855e-18
 9.63716318e-01 1.82492256e-18 1.74750464e-17]"	12.341128826141357
381	0.08591958502660106	[0.04, 0.13999999999999999, 0.0]	"[1.88963831e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.98110362e-01 0.00000000e+00 4.57238356e-17]"	7.4843597412109375
382	0.08815066663749316	[0.04, 0.13999999999999999, 0.01]	"[1.47266029e-02 1.46387350e-17 0.00000000e+00 0.00000000e+00
 9.85273397e-01 0.00000000e+00 4.09044171e-17]"	8.854699611663818
383	0.09022797591768086	[0.04, 0.13999999999999999, 0.02]	"[2.63067943e-02 8.25759058e-17 6.84985473e-17 0.00000000e+00
 9.73693206e-01 6.12120565e-17 1.26547513e-16]"	9.76273775100708
384	0.08856095849923629	[0.04, 0.14999999999999997, 0.0]	[0. 0. 0. 0. 1. 0. 0.]	10.826546669006348
385	0.09075994159147079	[0.04, 0.14999999999999997, 0.01]	"[5.55939217e-03 0.00000000e+00 2.25714891e-16 5.16013475e-15
 9.94440608e-01 4.96414731e-16 2.98277909e-15]"	14.469947576522827
386	0.09281577869041585	[0.04, 0.14999999999999997, 0.02]	"[1.69673516e-02 1.33812775e-20 1.44829881e-20 1.59044857e-16
 9.83032648e-01 4.84397068e-20 2.23114151e-19]"	8.986814498901367
387	0.09112145416067262	[0.04, 0.15999999999999998, 0.0]	[0. 0. 0. 0. 1. 0. 0.]	6.287869691848755
388	0.09324888965569748	[0.04, 0.15999999999999998, 0.01]	"[3.31729680e-17 8.12847948e-17 1.04810072e-16 3.98462492e-17
 1.00000000e+00 3.30630311e-17 5.31035230e-17]"	6.41722559928894
389	0.09527732789478424	[0.04, 0.15999999999999998, 0.02]	"[8.15131254e-03 0.00000000e+00 3.93251511e-17 1.19105112e-15
 9.91848687e-01 0.00000000e+00 5.52019338e-16]"	11.368280410766602
390	0.09360194982210883	[0.04, 0.16999999999999998, 0.0]	"[5.87046712e-17 3.23987904e-17 0.00000000e+00 0.00000000e+00
 1.00000000e+00 7.42392511e-17 2.84537510e-16]"	6.3072216510772705
391	0.0956493853171337	[0.04, 0.16999999999999998, 0.01]	"[0.00000000e+00 5.48088858e-17 1.60226033e-16 2.22897173e-17
 1.00000000e+00 3.98682730e-17 1.04615274e-16]"	6.386054754257202
392	0.09761682081215604	[0.04, 0.16999999999999998, 0.02]	"[3.85786457e-15 2.63352141e-16 8.19982220e-16 1.72706785e-14
 1.00000000e+00 1.56539752e-15 1.06895381e-14]"	7.216695547103882
393	0.09600244548354504	[0.04, 0.17999999999999997, 0.0]	"[1.00053079e-17 1.87079818e-18 7.07207284e-17 2.69821895e-16
 1.00000000e+00 0.00000000e+00 0.00000000e+00]"	6.331914663314819
394	0.09796988097856991	[0.04, 0.17999999999999997, 0.01]	"[0.00000000e+00 1.57435642e-16 1.40767269e-16 0.00000000e+00
 1.00000000e+00 1.37440604e-16 3.48634375e-16]"	6.328078985214233
395	0.09985731647359486	[0.04, 0.17999999999999997, 0.02]	"[9.51923343e-18 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00]"	6.330592393875122
396	0.0983229411449813	[0.04, 0.18999999999999995, 0.0]	"[0.00000000e+00 7.33202477e-19 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.26440490e-17 0.00000000e+00]"	6.394998550415039
397	0.10021037663999564	[0.04, 0.18999999999999995, 0.01]	"[0.00000000e+00 5.36185522e-14 0.00000000e+00 1.05136903e-13
 1.00000000e+00 0.00000000e+00 0.00000000e+00]"	8.200403451919556
398	0.1020178121350311	[0.04, 0.18999999999999995, 0.02]	"[0.00000000e+00 6.06990340e-17 7.72984499e-17 0.00000000e+00
 1.00000000e+00 4.11140803e-17 3.40735156e-16]"	6.45681357383728
399	0.10056343680641756	[0.04, 0.19999999999999996, 0.0]	[0. 0. 0. 0. 1. 0. 0.]	8.413985013961792
400	0.1023708723014325	[0.04, 0.19999999999999996, 0.01]	"[1.25904918e-16 0.00000000e+00 5.04432551e-17 1.00629309e-13
 1.00000000e+00 0.00000000e+00 8.42714569e-17]"	7.089299917221069
401	0.10409830779646738	[0.04, 0.19999999999999996, 0.02]	"[1.04063463e-16 0.00000000e+00 1.09627530e-17 4.86071336e-17
 1.00000000e+00 3.87955540e-17 0.00000000e+00]"	6.407516002655029
402	0.10272393246785382	[0.04, 0.20999999999999996, 0.0]	"[0.00000000e+00 1.74444968e-17 1.05016159e-16 0.00000000e+00
 1.00000000e+00 6.76115713e-17 4.73316543e-30]"	7.0136048793792725
403	0.10445136796287871	[0.04, 0.20999999999999996, 0.01]	"[5.74529197e-17 0.00000000e+00 0.00000000e+00 3.35291475e-18
 1.00000000e+00 0.00000000e+00 0.00000000e+00]"	6.4067158699035645
404	0.10609880345790362	[0.04, 0.20999999999999996, 0.02]	[0. 0. 0. 0. 1. 0. 0.]	6.388388156890869
405	0.10480442812929008	[0.04, 0.21999999999999995, 0.0]	"[0.00000000e+00 0.00000000e+00 1.21936771e-17 0.00000000e+00
 1.00000000e+00 2.65552518e-17 8.98802595e-17]"	7.703770875930786
406	0.10645186362431497	[0.04, 0.21999999999999995, 0.01]	"[0.00000000e+00 2.55498475e-17 6.69725018e-17 4.77554399e-17
 1.00000000e+00 1.40812017e-17 1.44146133e-17]"	7.623645067214966
407	0.10801929911933987	[0.04, 0.21999999999999995, 0.02]	"[0.0000000e+00 0.0000000e+00 0.0000000e+00 2.0771652e-17 1.0000000e+00
 5.0115849e-18 0.0000000e+00]"	6.287552356719971
408	0.10680492379072419	[0.04, 0.22999999999999995, 0.0]	"[2.79449059e-17 8.15877976e-17 0.00000000e+00 2.00132640e-14
 1.00000000e+00 5.73796072e-17 2.00252973e-16]"	7.501904010772705
409	0.10837235928575123	[0.04, 0.22999999999999995, 0.01]	"[0.00000000e+00 9.59129336e-17 3.25731462e-17 0.00000000e+00
 1.00000000e+00 3.34178618e-17 0.00000000e+00]"	6.965944051742554
410	0.10985979478077611	[0.04, 0.22999999999999995, 0.02]	"[0.00000000e+00 1.28321354e-16 3.11396493e-17 6.84055336e-17
 1.00000000e+00 9.38877304e-17 1.48189721e-16]"	6.869014739990234
411	0.1087250166921788	[0.04, 0.23999999999999994, 0.0]	"[5.13158806e-17 0.00000000e+00 0.00000000e+00 3.30920156e-03
 9.96690798e-01 0.00000000e+00 0.00000000e+00]"	12.727919578552246
412	0.11021128919418352	[0.04, 0.23999999999999994, 0.01]	"[0.00000000e+00 1.93983284e-16 8.96624509e-17 6.37071938e-03
 9.93629263e-01 1.18813176e-16 1.69712047e-16]"	7.647947788238525
413	0.11161702369502921	[0.04, 0.23999999999999994, 0.02]	"[3.70078556e-17 0.00000000e+00 0.00000000e+00 9.43755407e-03
 9.90562446e-01 0.00000000e+00 1.48879644e-16]"	7.3710527420043945
414	0.11055850476191878	[0.04, 0.24999999999999992, 0.0]	"[0.00000000e+00 0.00000000e+00 7.09028293e-17 1.42089418e-02
 9.85791058e-01 0.00000000e+00 0.00000000e+00]"	17.235406160354614
415	0.11196272996545707	[0.04, 0.24999999999999992, 0.01]	"[2.69042970e-18 3.13829380e-17 0.00000000e+00 1.68512976e-02
 9.83148702e-01 0.00000000e+00 0.00000000e+00]"	16.236907958984375
416	0.11328683755074659	[0.04, 0.24999999999999992, 0.02]	"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.91330966e-02
 9.80866903e-01 0.00000000e+00 6.07198701e-16]"	7.693688154220581
417	0.11230410586713777	[0.04, 0.2599999999999999, 0.0]	"[1.18751859e-16 9.84114036e-18 8.52267177e-17 2.42037705e-02
 9.75796229e-01 8.19042254e-21 2.21186172e-12]"	11.71874451637268
418	0.11362700358744404	[0.04, 0.2599999999999999, 0.01]	"[5.91123574e-17 1.01082176e-16 8.59773012e-21 2.67725200e-02
 9.73227472e-01 1.10006375e-16 2.39931884e-16]"	7.593151092529297
419	0.11487014787654959	[0.04, 0.2599999999999999, 0.02]	"[9.33499002e-17 0.00000000e+00 9.49805644e-17 2.88795642e-02
 9.71120436e-01 9.03537907e-17 0.00000000e+00]"	8.716442823410034
420	0.11396281753708691	[0.04, 0.2699999999999999, 0.0]	"[0.00000000e+00 2.81237314e-14 2.39986638e-16 3.39765681e-02
 9.66023432e-01 0.00000000e+00 0.00000000e+00]"	16.049999952316284
421	0.11520503561593225	[0.04, 0.2699999999999999, 0.01]	"[1.27634857e-18 6.61291225e-20 1.14717795e-17 3.57485727e-02
 9.64251427e-01 1.37907614e-18 5.01407494e-19]"	8.581369400024414
422	0.1163678122472995	[0.04, 0.2699999999999999, 0.02]	"[2.98568075e-17 1.83577079e-22 1.67148111e-17 3.71752996e-02
 9.62824687e-01 1.61569329e-22 1.57914990e-16]"	8.73552417755127
423	0.1155355625908509	[0.04, 0.2799999999999999, 0.0]	"[0.00000000e+00 0.00000000e+00 0.00000000e+00 4.33268870e-02
 9.56673113e-01 0.00000000e+00 6.80263073e-18]"	14.011965274810791
424	0.11669768698949207	[0.04, 0.2799999999999999, 0.01]	"[0.00000000e+00 2.70782760e-17 0.00000000e+00 4.45567592e-02
 9.55443241e-01 0.00000000e+00 0.00000000e+00]"	18.791240453720093
425	0.1177806392094287	[0.04, 0.2799999999999999, 0.02]	"[9.11861449e-17 8.56662135e-17 1.07168761e-16 4.55824140e-02
 9.54417586e-01 1.35897906e-16 3.23158511e-16]"	14.551339149475098
426	0.11702318111948769	[0.04, 0.2899999999999999, 0.0]	"[0.00000000e+00 0.00000000e+00 0.00000000e+00 5.18531294e-02
 9.48146871e-01 0.00000000e+00 1.64101808e-17]"	7.717697381973267
427	0.1181057444845948	[0.04, 0.2899999999999999, 0.01]	"[0.         0.         0.         0.05277271 0.94722729 0.
 0.        ]"	12.81603193283081
428	0.11910936670804557	[0.04, 0.2899999999999999, 0.02]	"[1.04738362e-16 2.00901320e-20 1.86863860e-17 5.34903167e-02
 9.46509683e-01 1.07147371e-20 1.16393431e-16]"	8.936660528182983
429	0.11842645094990532	[0.04, 0.29999999999999993, 0.0]	"[7.91998390e-17 3.98954204e-17 0.00000000e+00 5.98528134e-02
 9.40147187e-01 9.65554104e-17 1.10178237e-16]"	8.21408486366272
430	0.11942993375311262	[0.04, 0.29999999999999993, 0.01]	"[1.24939331e-16 1.42552486e-16 2.03711284e-16 6.05806721e-02
 9.39419328e-01 2.69919990e-16 3.81079068e-16]"	9.709994077682495
431	0.12035467191323931	[0.04, 0.29999999999999993, 0.02]	"[1.80696540e-17 1.42351471e-16 0.00000000e+00 6.08746842e-02
 9.39125316e-01 3.01436900e-17 0.00000000e+00]"	17.415147066116333
432	0.11974608660067948	[0.04, 0.30999999999999994, 0.0]	"[7.87089082e-17 1.74190800e-17 0.00000000e+00 6.78695761e-02
 9.32130424e-01 0.00000000e+00 2.68122650e-16]"	7.117875099182129
433	0.12067092524007898	[0.04, 0.30999999999999994, 0.01]	"[0.00000000e+00 2.76809780e-17 1.44223618e-17 6.77506823e-02
 9.32249318e-01 1.81650777e-17 0.00000000e+00]"	7.631897687911987
434	0.12151718385361103	[0.04, 0.30999999999999994, 0.02]	"[8.09294260e-24 0.00000000e+00 0.00000000e+00 6.77405750e-02
 9.32259422e-01 0.00000000e+00 0.00000000e+00]"	8.372591733932495
435	0.12098274494075345	[0.04, 0.3199999999999999, 0.0]	"[8.28871703e-17 1.81883065e-16 1.62236975e-16 7.49521705e-02
 9.25047829e-01 2.37499339e-16 1.57579485e-16]"	12.417215347290039
436	0.12182933704486953	[0.04, 0.3199999999999999, 0.01]	"[3.11752559e-17 5.13400176e-17 5.03411503e-17 7.49949210e-02
 9.25005076e-01 0.00000000e+00 0.00000000e+00]"	8.400801420211792
437	0.12259747993130901	[0.04, 0.3199999999999999, 0.02]	"[0.00000000e+00 3.16686849e-16 1.09266885e-16 7.45355165e-02
 9.25464484e-01 9.01608137e-17 1.76681184e-15]"	12.732900381088257
438	0.12213704059111488	[0.04, 0.32999999999999985, 0.0]	"[0.         0.         0.         0.08185477 0.91814523 0.
 0.        ]"	15.140320539474487
439	0.12290574050429279	[0.04, 0.32999999999999985, 0.01]	"[2.73704086e-18 0.00000000e+00 0.00000000e+00 8.13998734e-02
 9.18600127e-01 1.03971299e-20 0.00000000e+00]"	31.136544227600098
440	0.12359610067395367	[0.04, 0.32999999999999985, 0.02]	"[0.00000000e+00 1.32064723e-16 6.00515872e-17 8.07087795e-02
 9.19291221e-01 1.04886812e-16 0.00000000e+00]"	10.23190951347351
441	0.12320953720850608	[0.04, 0.33999999999999986, 0.0]	"[4.55149064e-18 1.47197662e-17 0.00000000e+00 8.84444847e-02
 9.11555515e-01 4.69309311e-17 1.41517583e-16]"	10.516214609146118
442	0.12390067192661348	[0.04, 0.33999999999999986, 0.01]	"[3.11291745e-17 7.81290734e-17 1.96417107e-17 8.74201777e-02
 9.12579816e-01 5.41289736e-17 1.03118232e-16]"	7.895089387893677
443	0.12451354297842042	[0.04, 0.33999999999999986, 0.02]	"[0.00000000e+00 7.46200555e-17 1.35413324e-17 8.66332184e-02
 9.13366782e-01 0.00000000e+00 1.34582376e-16]"	10.364876985549927
444	0.1242007590101999	[0.04, 0.34999999999999987, 0.0]	"[0.00000000e+00 0.00000000e+00 0.00000000e+00 9.47111480e-02
 9.05288852e-01 6.18747309e-17 0.00000000e+00]"	11.560441732406616
445	0.12481461396384239	[0.04, 0.34999999999999987, 0.01]	"[4.72459889e-17 2.74825602e-21 6.40783328e-17 9.34333307e-02
 9.06566667e-01 8.98280626e-17 2.91607187e-21]"	8.599621295928955
446	0.1253502700632283	[0.04, 0.34999999999999987, 0.02]	"[8.81595761e-18 0.00000000e+00 0.00000000e+00 9.20453978e-02
 9.07954602e-01 0.00000000e+00 3.61235530e-16]"	7.239302635192871
447	0.12511118860283998	[0.04, 0.3599999999999999, 0.0]	"[9.32441089e-18 1.00915752e-16 3.49118856e-17 1.00322721e-01
 8.99677279e-01 5.77376069e-17 2.10773107e-16]"	13.662877082824707
448	0.1256480303254675	[0.04, 0.3599999999999999, 0.01]	"[5.32625389e-17 0.00000000e+00 0.00000000e+00 9.91857615e-02
 9.00814239e-01 0.00000000e+00 0.00000000e+00]"	7.797410726547241
449	0.1261067065737751	[0.04, 0.3599999999999999, 0.02]	"[9.05988803e-20 1.69102394e-13 1.57521568e-13 9.76819185e-02
 9.02318081e-01 1.79135637e-13 2.57300149e-13]"	9.032801628112793
450	0.1259412793735456	[0.04, 0.3699999999999999, 0.0]	"[0.00000000e+00 2.04883019e-16 0.00000000e+00 1.05810798e-01
 8.94189202e-01 0.00000000e+00 0.00000000e+00]"	7.7561116218566895
451	0.1264013395275706	[0.04, 0.3699999999999999, 0.01]	"[0.00000000e+00 3.29061770e-17 0.00000000e+00 1.04285024e-01
 8.95714976e-01 1.03338142e-17 1.28538748e-16]"	7.7646050453186035
452	0.12678325093897538	[0.04, 0.3699999999999999, 0.02]	"[1.06742733e-13 2.34090718e-17 9.59340297e-17 1.02534250e-01
 8.97465739e-01 1.84172864e-16 2.13774458e-15]"	10.147511720657349
453	0.12669144849622793	[0.04, 0.3799999999999999, 0.0]	"[7.59371045e-19 7.28752030e-17 1.45919810e-16 1.10942277e-01
 8.89057723e-01 8.08589847e-17 3.61954237e-17]"	7.791391611099243
454	0.1270749362194852	[0.04, 0.3799999999999999, 0.01]	"[0.00000000e+00 9.50516335e-18 0.00000000e+00 1.09192147e-01
 8.90807853e-01 1.86625867e-17 2.27347446e-16]"	17.19449210166931
